Name	Position	Nationality	Scrabble Score
Nathan Ofoborh	Midfielder	Nigeria	24
Reece Oxford	Defender	England	24
Josh Pask	Defender	England	24
Adalberto Peñaranda	Forward	Venezuela	24
Davy Pröpper	Midfielder	Netherlands	24
Patrick Roberts	Midfielder	England	24
John Ruddy	Goalkeeper	England	24
Mamadou Sakho	Defender	France	24
Gylfi Sigurdsson	Midfielder	Iceland	24
Emile Smith Rowe	Midfielder	England	24
Alex Smithies	Goalkeeper	England	24
Fikayo Tomori	Defender	England	24
Kyle Walker	Defender	England	24
Aaron Wan-Bissaka	Midfielder	England	24
Dean Whitehead	Midfielder	England	24
Alfie Whiteman	Goalkeeper	England	24
Ben Whitfield	Midfielder	England	24
Kurt Zouma	Defender	France	24
Fabián Balbuena	Defender	Paraguay	23
Phil Bardsley	Defender	Scotland	23
Yohan Benalouane	Defender	Tunisia	23
Philip Billing	Midfielder	Denmark	23
Jeremie Boga	Midfielder	Cote D'Ivoire	23
Brian Murphy	Goalkeeper	Ireland	23
Víctor Camarasa	Midfielder	Spain	23
Craig Cathcart	Defender	Northern Ireland	23
Tahith Chong	Midfielder	Netherlands	23
Cyrus Christie	Defender	Ireland	23
Conor Coventry	Midfielder	England	23
Pontus Dahlberg	Goalkeeper	Sweden	23
David Luiz	Defender	Brazil	23
Jason Denayer	Defender	Belgium	23
Mohamed Diamé	Midfielder	Senegal	23
Shane Duffy	Defender	Ireland	23
Bruno Ecuele Manga	Defender	Gabon	23
Jonny Evans	Defender	Northern Ireland	23
Dwight Gayle	Forward	England	23
Anthony Georgiou	Midfielder	Cyprus	23
Ilkay Gündogan	Midfielder	Germany	23
José Holebas	Defender	Greece	23
Fraser Hornby	Midfielder	Scotland	23
Iker Pozo	Midfielder	Spain	23
João Virgínia	Goalkeeper	Portugal	23
Declan John	Defender	Wales	23
Elias Kachunga	Forward	The Democratic Republic Of Congo	23
Sullay Kaikai	Midfielder	England	23
Michael Keane	Defender	England	23
Davy Klaassen	Midfielder	Netherlands	23
Aymeric Laporte	Defender	France	23
Victor Lindelöf	Defender	Sweden	23
Ademola Lookman	Forward	England	23
Pablo Maffeo	Defender	Spain	23
Connor Mahoney	Midfielder	England	23
Mohamed Salah	Forward	Egypt	23
Layton Ndukwu	Forward	England	23
Stefano Okaka	Forward	Italy	23
Lucas Pérez	Forward	Spain	23
Collin Quaner	Forward	Germany	23
Kayne Ramsay	Defender	England	23
Taylor Richards	Forward	England	23
Bukayo Saka	Forward	England	23
Bakary Sako	Midfielder	Mali	23
Santi Cazorla	Midfielder	Spain	23
Dominic Solanke	Forward	England	23
Jamie Sterry	Defender	England	23
James Tilley	Forward	England	23
Toni Martínez	Forward	Spain	23
Shilow Tracey	Midfielder	England	23
Rhoys Wiggins	Defender	Wales	23
Harry Winks	Midfielder	England	23
Maya Yoshida	Defender	Japan	23
Daniel Arzani	Midfielder	Australia	22
Asmir Begovic	Goalkeeper	Bosnia And Herzegovina	22
Josh Benson	Midfielder	England	22
Marcus Bettinelli	Goalkeeper	England	22
Yves Bissouma	Midfielder	Mali	22
David Brooks	Midfielder	Wales	22
Tyias Browning	Defender	England	22
Ibrahima Cissé	Midfielder	Guinea	22
Tom Cleverley	Midfielder	England	22
Nathaniel Clyne	Defender	England	22
Bradley Collins	Goalkeeper	England	22
Thibaut Courtois	Goalkeeper	Belgium	22
Josh Cullen	Midfielder	Ireland	22
James Daly	Forward	England	22
Fabian Delph	Midfielder	England	22
Douglas Luiz	Midfielder	Brazil	22
Harvey Elliott	Midfielder	England	22
Cesc Fàbregas	Midfielder	Spain	22
Jon Flanagan	Defender	England	22
Tyrese Francois	Midfielder	Australia	22
Ramiro Funes Mori	Defender	Argentina	22
Gabriel Jesus	Forward	Brazil	22
Charlie Gilmour	Midfielder	Scotland	22
Massadio Haidara	Defender	Mali	22
Nathan Harker	Goalkeeper	England	22
Kadeem Harris	Midfielder	England	22
Kortney Hause	Defender	England	22
Rhys Healey	Forward	England	22
Heurelho Gomes	Goalkeeper	Brazil	22
Des Hutchinson	Midfielder	Ireland	22
Chung-Yong Lee	Midfielder	South Korea	22
Dejan Lovren	Defender	Croatia	22
Romelu Lukaku	Forward	Belgium	22
Paris Maghoma	Midfielder	England	22
Anthony Martial	Forward	France	22
Arthur Masuaku	Defender	The Democratic Republic Of Congo	22
Max Meyer	Midfielder	Germany	22
James Milner	Midfielder	England	22
Kevin Mirallas	Forward	Belgium	22
Jan Mlakar	Forward	Slovenia	22
Lukas Nmecha	Forward	Germany	22
Divock Origi	Forward	Belgium	22
Kasey Palmer	Midfielder	England	22
Costel Pantilimon	Goalkeeper	Romania	22
Oliver Skipp	Midfielder	England	22
Julian Speroni	Goalkeeper	Argentina	22
Junior Stanislas	Midfielder	England	22
Dujon Sterling	Defender	England	22
Tom Dele-Bashiru	Midfielder	England	22
Richard Towell	Midfielder	Ireland	22
Kieran Trippier	Defender	England	22
Michel Vorm	Goalkeeper	Netherlands	22
Mauro Zárate	Forward	Argentina	22
Benik Afobe	Forward	The Democratic Republic Of Congo	21
Aleix García	Midfielder	Spain	21
Michail Antonio	Midfielder	England	21
Taiwo Awoniyi	Forward	Nigeria	21
Sam Baldock	Forward	England	21
Héctor Bellerín	Defender	Spain	21
Sofiane Boufal	Midfielder	Morocco	21
Robbie Brady	Midfielder	Ireland	21
Rhian Brewster	Forward	England	21
Marcus Browne	Midfielder	England	21
Marcin Bulka	Goalkeeper	Poland	21
Ivan Cavaleiro	Forward	Portugal	21
Ben Chilwell	Defender	England	21
Cristián Cuevas	Defender	Chile	21
Denis Suárez	Midfielder	Spain	21
Fousseni Diabaté	Midfielder	Mali	21
Diego Cavalieri	Goalkeeper	Brazil	21
Eddie Nketiah	Forward	England	21
Adam Federici	Goalkeeper	Australia	21
Marouane Fellaini	Midfielder	Belgium	21
James Garner	Midfielder	England	21
Anthony Gordon	Midfielder	England	21
Kamil Grabara	Goalkeeper	Poland	21
Mason Greenwood	Forward	England	21
Ethan Hamilton	Midfielder	Scotland	21
Wesley Hoedt	Defender	Netherlands	21
Dejan Iliev	Goalkeeper	North Macedonia	21
Alex Iwobi	Midfielder	Nigeria	21
Joe Powell	Midfielder	England	21
Younes Kaboul	Defender	France	21
Beram Kayal	Midfielder	Israel	21
Terence Kongolo	Defender	Netherlands	21
Jesse Lingard	Midfielder	England	21
Harry Maguire	Defender	England	21
Adrian Mariappa	Defender	Jamaica	21
Ibrahim Meite	Forward	England	21
Yoshinori Muto	Forward	Japan	21
Mathias Normann	Midfielder	Norway	21
Nathanael Ogbeta	Defender	England	21
Jordi Osei-Tutu	Defender	England	21
Roberto Pereyra	Midfielder	Argentina	21
Roberto Firmino	Forward	Brazil	21
Andrew Robertson	Defender	Scotland	21
Marek Rodák	Goalkeeper	Slovakia	21
Marcos Rojo	Defender	Argentina	21
Fabian Schär	Defender	Switzerland	21
Sheyi Ojo	Forward	England	21
Callum Slattery	Midfielder	England	21
Chris Smalling	Defender	England	21
Çaglar Söyüncü	Defender	Turkey	21
Tosin Adarabioyo	Defender	England	21
Nikola Vlasic	Midfielder	Croatia	21
Wilfred Ndidi	Midfielder	Nigeria	21
Xande Silva	Forward	Portugal	21
Ashley Young	Defender	England	21
Antonio Valencia	Defender	Ecuador	20
Floyd Ayité	Forward	Togo	20
Leighton Baines	Defender	England	20
Beni Baningime	Midfielder	The Democratic Republic Of Congo	20
Ross Barkley	Midfielder	England	20
Ashley Barnes	Forward	Austria	20
Willy Boly	Defender	France	20
Claudio Bravo	Goalkeeper	Chile	20
Joe Bryan	Defender	England	20
Matt Butcher	Defender	England	20
Baily Cargill	Defender	England	20
Chicharito	Forward	Mexico	20
Peter Crouch	Forward	England	20
Charlie Daniels	Defender	England	20
Damien Delaney	Defender	Ireland	20
Alex Denny	Midfielder	England	20
Gerard Deulofeu	Forward	Spain	20
Grady Diangana	Midfielder	England	20
Matt Doherty	Defender	Ireland	20
Kieran Dowell	Midfielder	England	20
Vlad Dragomir	Midfielder	Romania	20
Felipe Anderson	Midfielder	Brazil	20
Marlon Fossey	Defender	United States	20
Lewis Grabban	Forward	England	20
Greg Halford	Defender	England	20
Isaac Hayden	Midfielder	England	20
Tommie Hoban	Defender	Ireland	20
Nathan Holland	Midfielder	England	20
Uwe Hünemeier	Defender	Germany	20
Vicente Iborra	Midfielder	Spain	20
Joel Pereira	Goalkeeper	Portugal	20
Curtis Jones	Midfielder	England	20
Josh Sims	Midfielder	England	20
Martin Kelly	Defender	England	20
Ki Sung-yueng	Midfielder	South Korea	20
Nya Kirby	Midfielder	England	20
Ragnar Klavan	Defender	Estonia	20
Sead Kolasinac	Defender	Bosnia And Herzegovina	20
Anders Lindegaard	Goalkeeper	Denmark	20
Fernando Llorente	Forward	Spain	20
Sean Longstaff	Midfielder	England	20
Joel Matip	Defender	Cameroon	20
Martín Montoya	Defender	Spain	20
Alfred N'Diaye	Midfielder	Senegal	20
Oliver Norwood	Midfielder	Northern Ireland	20
Nicolás Otamendi	Defender	Argentina	20
Ovie Ejaria	Midfielder	England	20
Mesut Özil	Midfielder	Germany	20
Callum Paterson	Defender	Scotland	20
Ramadan Sobhi	Midfielder	Egypt	20
Nathan Redmond	Midfielder	England	20
Max Sanders	Midfielder	England	20
Solly March	Midfielder	England	20
John Stones	Defender	England	20
Nikola Tavares	Defender	England	20
Kyle Taylor	Midfielder	England	20
Mark Travers	Goalkeeper	Ireland	20
Joe Tupper	Goalkeeper	England	20
Stephen Ward	Defender	Ireland	20
Kelland Watts	Midfielder	England	20
Nahki Wells	Forward	Bermuda	20
